EAN;stan
5.90675E+12;0
5.90307E+12;0
5.90307E+12;0
5.90307E+12;0
5.90307E+12;0
5.90307E+12;0
5.90307E+12;0
5.90307E+12;0
5.90307E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
8.00192E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
9.00162E+12;0
5.90827E+12;0
5.90303E+12;0
5.90303E+12;0
5.0603E+12;0
5.0603E+12;0
5.0603E+12;0
5.0603E+12;0
5.0603E+12;0
8.41308E+12;0
5.90656E+11;0
5.90656E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
5.90268E+12;0
