barcode,total_quantity
6938242958268,54
6938242958800,49
6938242958909,46
6938242958916,52
6938242958930,52
6938242959234,57
6938242959760,246
6938242959975,78
6938242960827,211
6938242960896,347
6938242960896,210
6938242960971,46
6938242960988,29
6938242960995,34
6938242962104,296
6938242962135,66
6938242962210,43
6938242962227,39
6938242962555,64
6938242962814,103
6938242962999,426
6938242963026,80
5710409110464,19
5055166361996,29
5055166362009,25
5055166362016,21
5055166362023,36
5055166361835,21
5055166362047,43
5055166362245,67
5055166362252,66
5055166362269,65
5055166362276,69
5055166362108,65
5055166362115,65
5710409108072,24
5710409105521,18
5710409110280,21
3550833200209,2
3550833301418,26
3550833500521,33
3550833900512,10
5712854625739,16
5712854586993,34
5712854625715,63
5712854625876,67
5712854777483,106
5208006030228,7
5208006050059,11
5208006050073,10
5208006111316,18
5208006111330,12
5208006111361,22
5208006125122,10
5208006125146,11
5208006125207,19
5208006125221,12
5208006130102,61
5208006130133,59
5208006130140,23
5208006130423,298
5208006125139,12
5208006130621,4
5208006140354,11
5208006140576,20
5208006230338,33
5208006230437,42
5208006230468,34
5208006230499,49
5208006230581,48
5208006230604,46
5208006230901,15
5208006230918,20
5208006230925,17
5208006231311,41
5208006231335,35
5208006231366,29
5208006231373,38
5208006231489,11
5208006231496,12
5208006231830,21
5208006231847,18
5208006231854,19
5208006233056,48
5208006360127,8
5208006120103,23
5208006120103,23
5208006120103,21
5208006120103,24
5208006120103,23
5208006120103,21
5055166359986,18
5055166359818,12
5055166361361,29
8427614408619,22
8427614409210,35
8427614409227,19
8427614508661,4
8427614508890,9
8427614508920,9
8427614508937,11
8427614508944,45
8427614508951,16
8427614608057,12
8427614608071,12
8427614608132,17
8427614608279,1
8427614608576,7
8427614608590,7
8427614608644,26
8427614608651,14
8427614608743,6
8427614608859,8
8427614608996,2
8427614609023,1
8427614653866,10
8427614653873,6
8427614981839,2
8427614981952,2
8427614006006,19
8427614006013,12
8427614006020,15
8427614006037,9
8427614063344,8
8427614063696,10
8427614063726,10
8427614215804,11
8427614215811,2
8427614215828,14
8427614215835,18
8427614215842,10
8427614215859,4
8427614215866,4
8427614215897,4
8427614409234,20
5060639147939,90
5060639148509,143
5060639147908,104
5200384506470,46
5200384506487,44
5200384505831,49
5200384505862,29
5200384505886,32
5200384506654,10
5200384505787,134
5200384505794,134
5200384505800,136
5200384508320,6
5200384508306,6
5200384508344,7
5200384508290,8
5200384508337,8
5200384508283,4
5200384508313,3
5200384505763,7
5200384506500,8
5707167231562,0
5060272132729,0
5707167200131,0
5710409103046,0
5060272131784,0
5060272131722,0
5060272131425,0
5710409103367,0
5060272130688,0
8051040552099,0
5060272130121,0
5710409101585,0
5710409102834,0
5710409103527,0
5710409102056,0
5710409100595,0
5710409200370,0
8412906231518,0
8412906231501,0
5200384517322,0
5200384517285,0
5200384517360,0
5200384517339,0
5200384517353,0
5200384517346,0
5200384517308,0
5200384507156,0
5200384516165,0
5200384517797,0
5200384517216,0
5200384516059,0
5200384516332,0
5200384506944,0
5200384507965,0
2780015670297,0
8719831530014,0
4019359890435,0
4019359841673,0
4019359841840,0
4019359890619,0
4019359871281,0
